account_id,user_id,account_type,balance,kyc_verified,account_age_days
A293,U200,savings,256162,0,61
A294,U201,savings,23637,1,1695
A295,U202,savings,28585,1,648
A296,U203,current,292287,0,1437
A297,U204,current,21342,0,392
A298,U205,savings,250100,0,83
A299,U205,savings,119249,1,83
A300,U206,savings,166661,1,587
A301,U207,current,61836,1,1406
A302,U208,savings,337801,0,369
A303,U209,savings,66537,0,1990
A304,U210,current,5514,1,1600
A305,U211,savings,93454,0,581
A306,U211,savings,436170,1,581
A307,U212,savings,222712,1,642
A308,U212,current,113927,0,642
A309,U213,current,18278,1,87
A310,U214,savings,26539,1,483
A311,U214,current,10306,0,483
A312,U215,current,176223,0,1542
A313,U216,savings,109166,0,652
A314,U217,current,33264,1,111
A315,U217,current,12449,0,111
A316,U218,savings,65544,0,1478
A317,U218,savings,71455,0,1478
A318,U219,current,197532,0,1379
A319,U220,current,23820,1,630
A320,U221,savings,10161,1,167
A321,U221,savings,6795,0,167
A322,U222,current,76701,1,1204
A323,U222,savings,72913,1,1204
A324,U223,current,323369,0,1195
A325,U224,savings,32884,1,1731
A326,U225,savings,18056,1,701
A327,U226,current,29091,1,1990
A328,U227,current,60715,1,1025
A329,U228,savings,201769,0,507
A330,U229,current,147092,0,257
A331,U229,savings,371115,0,257
A332,U230,savings,75393,1,878
A333,U230,current,118097,1,878
A334,U231,savings,219448,0,105
A335,U231,savings,354307,1,105
A336,U232,savings,118478,0,550
A337,U232,current,277152,1,550
A338,U233,savings,132135,0,1101
A339,U233,current,40565,0,1101
A340,U234,savings,23572,1,1048
A341,U235,current,151297,1,951
A342,U236,savings,359018,0,199
A343,U237,current,704287,1,303
A344,U238,current,35368,1,1025
A345,U238,current,76115,1,1025
A346,U239,savings,293401,1,1589
A347,U239,current,356837,0,1589
A348,U240,savings,224074,0,755
A349,U240,current,115701,0,755
A350,U241,current,57805,1,193
A351,U242,savings,159726,1,589
A352,U243,current,47241,0,1123
A353,U244,savings,37892,0,397
A354,U245,current,469623,1,1377
A355,U246,current,400256,0,1948
A356,U247,current,332945,0,1442
A357,U247,current,79343,1,1442
A358,U248,savings,652041,1,1167
A359,U249,current,511196,0,1846
A360,U249,savings,461775,0,1846
A361,U250,savings,267116,1,926
A362,U251,savings,201376,0,1818
A363,U251,current,186583,1,1818
A364,U252,savings,193258,1,70
A365,U252,current,53751,1,70
A366,U253,current,268130,0,1660
A367,U253,current,372552,0,1660
A368,U254,current,209016,0,98
A369,U254,current,227634,1,98
A370,U255,current,379669,1,511
A371,U255,current,643236,0,511
A372,U256,current,137120,1,428
A373,U257,current,26727,1,410
A374,U257,savings,36045,1,410
A375,U258,current,29201,1,1046
A376,U258,savings,6493,1,1046
A377,U259,savings,47812,0,1952
A378,U259,savings,41237,1,1952
A379,U260,savings,152232,1,1360
A380,U260,savings,219725,0,1360
A381,U261,current,124888,0,781
A382,U262,current,668054,1,1548
A383,U263,savings,403197,1,675
A384,U263,current,136680,1,675
A385,U264,current,217081,1,1402
A386,U265,savings,346317,0,1410
A387,U265,savings,118951,0,1410
A388,U266,savings,21362,1,434
A389,U267,savings,53895,1,1267
A390,U268,current,556772,1,360
A391,U269,savings,209433,1,595
A392,U270,savings,61002,1,1829
A393,U270,savings,47900,0,1829
A394,U271,savings,28823,1,357
A395,U271,current,27372,0,357
A396,U272,savings,30389,1,706
A397,U272,current,37355,0,706
A398,U273,savings,125750,0,883
A399,U274,current,13157,0,1190
A400,U274,current,25821,1,1190
A401,U275,savings,16305,1,204
A402,U275,current,14054,1,204
A403,U276,current,206633,0,1717
A404,U276,savings,90017,0,1717
A405,U277,current,22187,1,792
A406,U277,savings,14629,0,792
A407,U278,savings,183180,0,1751
A408,U279,current,263138,0,1689
A409,U279,savings,180013,1,1689
A410,U280,savings,4714,1,548
A411,U280,current,25246,0,548
A412,U281,savings,6218,0,1793
A413,U282,savings,372921,0,1619
A414,U282,savings,629298,0,1619
A415,U283,savings,64589,1,1680
A416,U283,savings,71408,0,1680
A417,U284,current,382842,0,1746
A418,U284,savings,96138,0,1746
A419,U285,savings,136264,0,328
A420,U285,savings,59880,1,328
A421,U286,savings,7792,0,1460
A422,U286,current,16930,0,1460
A423,U287,current,275894,0,1850
A424,U288,savings,33954,1,1577
A425,U288,savings,27934,0,1577
A426,U289,current,101169,1,584
A427,U289,savings,71745,1,584
A428,U290,savings,34897,1,906
A429,U290,current,12742,1,906
A430,U291,current,246081,1,921
A431,U292,savings,276009,1,1306
A432,U292,savings,159097,1,1306
A433,U293,savings,150237,1,1037
A434,U294,current,66607,0,1975
A435,U294,current,72626,1,1975
A436,U295,current,79729,0,373
A437,U295,current,69740,1,373
A438,U296,current,79667,1,170
A439,U297,current,164826,0,1992
A440,U298,savings,176791,1,1981
A441,U299,savings,484523,1,1010
A442,U300,current,73871,1,1087
A443,U301,savings,239657,1,490
A444,U302,current,280461,0,192
A445,U302,current,178139,0,192
A446,U303,current,71300,0,109
A447,U303,savings,61672,1,109
A448,U304,current,146688,1,1308
A449,U305,current,478198,1,604
A450,U306,savings,127901,1,1189
A451,U306,savings,334256,1,1189
A452,U307,savings,41855,0,923
A453,U307,current,11886,1,923
A454,U308,savings,51412,1,1432
A455,U309,savings,713907,1,1557
A456,U309,savings,135600,0,1557
A457,U310,savings,34289,1,728
A458,U311,savings,10426,0,1088
A459,U311,savings,41806,0,1088
A460,U312,current,43505,1,1620
A461,U313,savings,5717,1,423
A462,U313,savings,19882,1,423
A463,U314,savings,5907,0,1036
A464,U315,savings,25803,0,44
A465,U315,current,51513,0,44
A466,U316,savings,121165,0,812
A467,U316,savings,57625,0,812
A468,U317,current,84274,1,1547
A469,U317,savings,51020,1,1547
A470,U318,current,399108,0,244
A471,U319,current,419367,1,635
A472,U319,current,220248,1,635
A473,U320,current,307382,0,1659
A474,U320,savings,72137,0,1659
A475,U321,current,152243,1,604
A476,U321,current,191900,0,604
A477,U322,current,20577,0,870
A478,U322,savings,62621,0,870
A479,U323,current,299190,1,1912
A480,U323,current,509421,1,1912
A481,U324,current,79966,0,109
A482,U324,current,120771,1,109
A483,U325,current,328721,1,1535
A484,U325,current,216176,0,1535
A485,U326,savings,44705,0,1850
A486,U326,current,40441,0,1850
A487,U327,current,327343,1,940
A488,U328,current,28711,1,1567
A489,U329,savings,133458,1,1664
A490,U330,current,73683,0,1493
A491,U330,current,170487,0,1493
A492,U331,current,91839,0,419
A493,U331,savings,340066,1,419
A494,U332,savings,418992,0,1649
A495,U333,savings,433859,0,1639
A496,U334,current,369359,1,618
A497,U335,current,116404,1,1206
A498,U336,savings,17419,1,1923
A499,U337,savings,222651,0,1293
A500,U337,savings,344558,1,1293
A501,U338,savings,126912,0,747
A502,U339,savings,119524,1,913
A503,U339,current,426705,0,913
A504,U340,current,341886,0,563
A505,U340,current,257622,1,563
A506,U341,savings,240572,0,577
A507,U342,savings,17415,1,329
A508,U343,savings,6289,1,1899
A509,U344,savings,214308,1,606
A510,U344,savings,208308,0,606
A511,U345,savings,518459,1,304
A512,U345,current,290406,1,304
A513,U346,savings,215110,0,1393
A514,U346,current,91903,1,1393
A515,U347,current,15589,0,472
A516,U347,current,38698,1,472
A517,U348,current,114673,1,89
A518,U349,current,71973,0,888
A519,U349,current,145840,0,888
A520,U350,current,258633,1,1127
A521,U351,savings,18973,1,725
A522,U351,current,14213,1,725
A523,U352,current,428863,0,1823
A524,U352,savings,175296,0,1823
A525,U353,savings,132668,0,230
A526,U354,savings,108491,1,269
A527,U355,savings,443602,0,937
A528,U355,current,543300,1,937
A529,U356,savings,159111,0,1439
A530,U357,savings,198710,0,269
A531,U357,current,183204,0,269
A532,U358,savings,178449,0,868
A533,U358,savings,229544,0,868
A534,U359,current,75048,0,1899
A535,U360,savings,5056,0,445
A536,U361,savings,118020,0,1559
A537,U361,current,118646,0,1559
A538,U362,current,412569,0,860
A539,U362,current,156371,0,860
A540,U363,current,50478,0,1292
A541,U363,current,40043,1,1292
A542,U364,current,19571,0,1273
A543,U365,savings,54554,1,41
A544,U366,current,183855,1,939
A545,U367,savings,65083,0,389
A546,U367,savings,217773,0,389
A547,U368,savings,398529,0,544
A548,U368,current,233024,1,544
A549,U369,current,42384,0,330
A550,U370,savings,74937,1,1637
A551,U371,current,139408,0,1924
A552,U371,savings,195200,1,1924
A553,U372,current,262638,0,417
A554,U373,current,136984,1,795
A555,U373,savings,383850,0,795
A556,U374,savings,8017,1,764
A557,U374,current,11553,0,764
A558,U375,savings,150658,1,136
A559,U376,savings,276209,0,256
A560,U376,savings,217126,0,256
A561,U377,savings,225200,0,765
A562,U377,savings,52449,1,765
A563,U378,savings,55240,0,502
A564,U379,savings,361233,1,749
A565,U380,current,68015,0,949
A566,U381,savings,73363,1,1232
A567,U382,current,83576,1,439
A568,U383,current,77094,0,1040
A569,U384,current,195002,1,1911
A570,U384,current,191431,1,1911
A571,U385,current,182931,1,928
A572,U385,current,170967,1,928
A573,U386,savings,62404,1,1589
A574,U387,current,15019,1,1235
A575,U387,savings,38671,0,1235
A576,U388,current,62610,1,1101
A577,U388,savings,36469,0,1101
A578,U389,savings,23134,1,1897
A579,U389,current,9397,0,1897
A580,U390,savings,572290,1,46
A581,U391,current,73217,0,1301
A582,U392,current,791529,0,1538
A583,U392,current,224011,1,1538
A584,U393,current,37956,1,112
A585,U394,current,432650,0,1286
A586,U394,current,335886,0,1286
A587,U395,savings,243604,0,1827
A588,U395,savings,129520,1,1827
A589,U396,savings,46763,1,1715
A590,U396,savings,219545,0,1715
A591,U397,savings,26773,1,1567
A592,U398,savings,55721,0,961
A593,U398,savings,265268,1,961
A594,U399,current,25346,1,1722
A595,U400,savings,17005,0,1542
A596,U401,current,62879,1,674
A597,U402,current,748464,0,1476
A598,U402,savings,243475,0,1476
A599,U403,current,5190,0,1941
A600,U403,savings,11434,1,1941
A601,U404,savings,96760,1,759
A602,U404,savings,154937,1,759
A603,U405,savings,22276,0,856
A604,U405,current,11608,1,856
A605,U406,current,20619,0,296
A606,U406,current,20349,0,296
A607,U407,current,67284,1,1433
A608,U408,savings,48288,1,896
A609,U409,current,438337,1,962
A610,U409,current,509699,0,962
A611,U410,savings,200622,0,314
A612,U410,savings,278453,1,314
A613,U411,current,111447,1,287
A614,U411,savings,242352,0,287
A615,U412,current,31068,1,1185
A616,U413,current,908490,0,1978
A617,U413,savings,841941,1,1978
A618,U414,savings,57244,1,995
A619,U415,current,19663,0,410
A620,U415,current,9547,1,410
A621,U416,savings,189103,1,440
A622,U417,savings,33514,0,283
A623,U417,savings,50618,0,283
A624,U418,current,327728,1,146
A625,U418,current,94914,1,146
A626,U419,savings,88523,1,935
A627,U420,current,130079,1,348
A628,U421,current,501687,0,929
A629,U421,current,417394,0,929
A630,U422,savings,40695,0,1222
A631,U422,current,65423,1,1222
A632,U423,current,312222,1,623
A633,U423,savings,158874,1,623
A634,U424,current,176251,0,1341
A635,U425,savings,46026,0,285
A636,U425,current,19648,1,285
A637,U426,savings,260707,1,1533
A638,U427,savings,777238,1,757
A639,U427,savings,168011,1,757
A640,U428,savings,35714,0,408
A641,U429,savings,54680,1,520
A642,U430,current,155258,1,519
A643,U430,savings,65197,0,519
A644,U431,savings,379922,0,1165
A645,U431,savings,476497,1,1165
A646,U432,savings,131851,1,926
A647,U433,savings,8322,0,635
A648,U434,savings,342899,1,980
A649,U434,savings,49637,0,980
A650,U435,savings,95428,0,1240
A651,U436,current,285595,0,1522
A652,U437,current,117540,1,1109
A653,U437,savings,308428,1,1109
A654,U438,current,62213,0,652
A655,U439,current,270004,0,531
A656,U440,savings,16179,1,1036
A657,U440,savings,13952,0,1036
A658,U441,savings,133446,1,1597
A659,U441,current,104035,0,1597
A660,U442,current,229274,1,861
A661,U442,savings,86471,0,861
A662,U443,current,407564,1,1688
A663,U444,current,74540,0,1955
A664,U445,current,124922,0,1775
A665,U446,savings,22292,0,55
A666,U446,savings,5688,0,55
A667,U447,savings,149606,0,307
A668,U448,current,212053,0,1887
A669,U449,current,18478,1,859
A670,U450,savings,21491,0,409
A671,U451,current,195814,0,1300
A672,U452,savings,30790,1,1425
A673,U452,savings,43421,1,1425
A674,U453,savings,51654,0,1646
A675,U454,savings,14602,0,710
A676,U454,savings,58435,0,710
A677,U455,current,164682,1,49
A678,U456,current,68698,0,932
A679,U456,current,8163,1,932
A680,U457,current,32514,1,1995
A681,U458,current,392288,0,1834
A682,U459,savings,60606,1,150
A683,U460,savings,50659,0,1970
A684,U461,savings,215729,1,1016
A685,U461,current,235701,0,1016
A686,U462,savings,64761,1,1443
A687,U462,savings,13263,1,1443
A688,U463,savings,733513,1,804
A689,U463,savings,305682,1,804
A690,U464,current,5285,0,57
A691,U464,savings,9535,1,57
A692,U465,current,112816,1,406
A693,U466,current,30404,0,1496
A694,U467,current,65636,0,1080
A695,U467,current,53452,1,1080
A696,U468,current,101721,1,787
A697,U469,savings,71470,0,1223
A698,U469,current,58219,1,1223
A699,U470,current,137760,1,687
A700,U471,savings,228377,0,1206
A701,U472,current,70068,0,1200
A702,U473,current,14831,1,1520
A703,U474,savings,26733,0,1934
A704,U475,savings,366545,1,1760
A705,U475,current,421390,0,1760
A706,U476,savings,12571,0,1705
A707,U477,current,57268,0,1985
A708,U478,current,208755,1,462
A709,U478,current,307201,1,462
A710,U479,savings,48964,0,228
A711,U480,current,100105,1,257
A712,U481,current,513405,0,1230
A713,U481,savings,165075,0,1230
A714,U482,savings,18412,1,1588
A715,U483,current,607824,0,1620
A716,U483,savings,142594,0,1620
A717,U484,savings,162982,0,1744
A718,U485,savings,14306,0,74
A719,U486,current,188606,1,1956
A720,U486,current,184787,1,1956
A721,U487,current,34890,0,661
A722,U487,savings,47298,0,661
A723,U488,current,171195,1,205
A724,U489,savings,150967,1,1746
A725,U490,current,261504,1,538
A726,U490,savings,400621,1,538
A727,U491,current,39761,0,667
A728,U491,savings,15522,0,667
A729,U492,savings,77195,1,1441
A730,U493,savings,578811,1,1426
A731,U494,current,20853,0,731
A732,U495,current,32559,0,1680
A733,U496,current,51509,0,1301
A734,U497,savings,22788,0,1592
A735,U497,current,43378,1,1592
A736,U498,current,22651,1,1381
A737,U499,savings,163634,1,1748
A738,U500,current,120068,0,190
A739,U501,savings,596673,0,923
A740,U501,current,292792,0,923
A741,U502,current,48194,0,1514
A742,U502,current,208780,0,1514
A743,U503,current,51213,0,964
A744,U503,current,59430,1,964
A745,U504,current,592809,1,1655
A746,U505,current,608764,0,1659
A747,U506,current,591118,1,400
A748,U507,current,189665,0,869
A749,U508,current,837672,1,1767
A750,U508,savings,134857,0,1767
A751,U509,current,18926,0,1986
A752,U509,current,25984,0,1986
A753,U510,current,23957,0,387
A754,U510,savings,31289,1,387
A755,U511,current,34804,0,1167
A756,U512,savings,55255,0,191
A757,U513,current,68880,1,1663
A758,U513,current,26906,1,1663
A759,U514,current,45978,1,1256
A760,U515,current,43133,0,1502
A761,U516,savings,130716,1,97
A762,U517,savings,93674,0,1736
A763,U518,savings,42427,0,326
A764,U518,savings,21292,0,326
A765,U519,current,26659,0,738
A766,U519,savings,17805,0,738
A767,U520,current,492767,1,248
A768,U521,current,50793,1,868
A769,U522,current,467021,0,420
A770,U523,current,164251,1,1695
A771,U524,savings,277909,0,122
A772,U524,current,393045,1,122
A773,U525,savings,36954,0,1123
A774,U525,current,5947,1,1123
A775,U526,current,5218,0,324
A776,U527,current,434232,1,1879
A777,U528,current,7269,1,1290
A778,U529,savings,157868,0,1692
A779,U529,savings,195934,0,1692
A780,U530,current,198461,1,448
A781,U530,current,751411,1,448
A782,U531,savings,140294,0,1302
A783,U532,savings,17727,1,1550
A784,U532,current,32703,0,1550
A785,U533,current,213561,0,203
A786,U533,current,365986,1,203
A787,U534,current,36550,0,1021
A788,U535,savings,85910,1,966
A789,U536,savings,11813,0,1796
A790,U536,current,24482,1,1796
A791,U537,savings,129982,0,1327
A792,U537,savings,138623,1,1327
A793,U538,savings,15301,0,878
A794,U539,savings,68359,0,1042
A795,U539,savings,43758,1,1042
A796,U540,savings,37164,0,1744
A797,U540,current,26483,1,1744
A798,U541,savings,894543,0,988
A799,U542,savings,22248,0,987
A800,U542,savings,10673,0,987
A801,U543,current,205034,1,1479
A802,U543,savings,81111,1,1479
A803,U544,current,113173,1,1379
A804,U545,current,6244,1,1884
A805,U545,current,12212,1,1884
A806,U546,savings,314044,0,1240
A807,U547,savings,206222,0,1254
A808,U547,current,38188,0,1254
A809,U548,savings,527611,1,1184
A810,U549,current,157648,0,749
A811,U550,savings,69185,1,1040
A812,U551,current,268934,0,585
A813,U551,current,111323,0,585
A814,U552,current,3198,1,1148
A815,U553,current,105506,0,888
A816,U553,savings,27847,1,888
A817,U554,current,394870,0,1637
A818,U555,savings,21171,0,634
A819,U555,current,16194,1,634
A820,U556,savings,70421,0,446
A821,U557,savings,44097,0,1152
A822,U557,current,32213,1,1152
A823,U558,savings,28475,1,1355
A824,U559,current,151560,1,1882
A825,U560,savings,329464,0,1059
A826,U561,current,9619,0,58
A827,U562,current,59958,0,324
A828,U563,savings,712612,0,177
A829,U563,current,859392,0,177
A830,U564,savings,778236,0,596
A831,U565,savings,144136,1,1046
A832,U566,current,148764,0,262
A833,U566,savings,293870,1,262
A834,U567,current,622357,0,1446
A835,U567,savings,560151,1,1446
A836,U568,savings,165698,0,197
A837,U568,current,27975,1,197
A838,U569,current,72691,1,1412
A839,U570,savings,378626,1,1672
A840,U570,savings,230321,0,1672
A841,U571,savings,59402,1,486
A842,U571,current,224861,1,486
A843,U572,savings,268910,1,1672
A844,U573,savings,227770,0,187
A845,U573,savings,96430,0,187
A846,U574,current,208191,0,876
A847,U574,current,143340,1,876
A848,U575,current,465716,1,1469
A849,U576,current,271018,0,1267
A850,U577,savings,129545,1,446
A851,U577,savings,158361,0,446
A852,U578,savings,19609,1,61
A853,U579,current,25862,1,1345
A854,U579,current,15185,0,1345
A855,U580,current,86069,1,1261
A856,U581,current,181138,0,1372
A857,U582,current,501687,0,480
A858,U583,savings,39339,0,813
A859,U584,current,24364,1,1421
A860,U584,savings,22055,0,1421
A861,U585,current,68662,1,1783
A862,U585,savings,31214,1,1783
A863,U586,savings,23676,1,67
A864,U587,savings,408342,1,215
A865,U587,savings,176445,0,215
A866,U588,savings,97295,1,1959
A867,U588,savings,35284,1,1959
A868,U589,savings,79007,0,1286
A869,U589,current,21277,0,1286
A870,U590,savings,132092,0,51
