user_id,age,employment_type,income,credit_score,risk_profile,home_location,account_created_at
U42,27,self-employed,154037,718,medium,Pune,2022-04-20 22:39:56.897382
U43,39,student,7756,330,high,Bangalore,2023-12-28 22:39:56.897382
U44,47,self-employed,76689,566,high,Hyderabad,2022-11-28 22:39:56.897382
U45,59,student,13772,331,high,Hyderabad,2021-05-03 22:39:56.897382
U46,62,salaried,117299,635,medium,Hyderabad,2023-04-27 22:39:56.897382
U47,56,self-employed,158829,784,low,Delhi,2022-04-11 22:39:56.897382
U48,50,salaried,35064,436,high,Mumbai,2024-09-22 22:39:56.897382
U49,46,salaried,26571,329,high,Kanpur,2021-05-20 22:39:56.897382
U50,61,student,12900,304,high,Kanpur,2021-01-19 22:39:56.897382
U51,51,student,19647,351,high,Pune,2021-08-09 22:39:56.897382
U52,56,student,12936,313,high,Pune,2022-04-10 22:39:56.897382
U53,36,salaried,53839,465,high,Hyderabad,2025-10-21 22:39:56.897382
U54,63,student,9180,337,high,Pune,2020-11-15 22:39:56.897382
U55,40,student,9053,331,high,Pune,2025-01-18 22:39:56.897382
U56,25,student,11734,319,high,Pune,2020-12-28 22:39:56.897382
U57,33,self-employed,79107,575,high,Hyderabad,2022-10-10 22:39:56.897382
U58,34,self-employed,38144,420,high,Kanpur,2021-11-17 22:39:56.897382
U59,40,student,7704,314,high,Pune,2025-11-05 22:39:56.897382
U60,40,student,14051,374,high,Bangalore,2025-01-14 22:39:56.897382
U61,53,student,17735,377,high,Mumbai,2021-11-09 22:39:56.897382
U62,34,student,14167,367,high,Bangalore,2020-12-07 22:39:56.897382
U63,30,student,8987,353,high,Bangalore,2021-11-16 22:39:56.897382
U64,18,student,7675,300,high,Mumbai,2023-06-04 22:39:56.897382
U65,29,student,18008,326,high,Bangalore,2022-11-09 22:39:56.897382
U66,53,salaried,42805,470,high,Pune,2023-01-31 22:39:56.897382
U67,49,self-employed,31971,423,high,Kanpur,2022-06-12 22:39:56.897382
U68,38,self-employed,163760,785,low,Hyderabad,2022-09-04 22:39:56.897382
U69,40,self-employed,116283,647,medium,Mumbai,2023-11-04 22:39:56.897382
U70,22,student,11643,337,high,Pune,2023-08-31 22:39:56.897382
U71,56,student,7359,355,high,Kanpur,2025-11-30 22:39:56.897382
U72,45,self-employed,112240,608,medium,Delhi,2020-11-12 22:39:56.897382
U73,65,salaried,69053,494,high,Mumbai,2021-09-05 22:39:56.898810
U74,31,student,13633,351,high,Bangalore,2025-07-07 22:39:56.898810
U75,41,salaried,94649,621,medium,Bangalore,2025-08-15 22:39:56.898810
U76,47,salaried,55409,474,high,Hyderabad,2024-03-15 22:39:56.898810
U77,18,self-employed,197850,898,low,Mumbai,2022-10-07 22:39:56.898810
U78,58,student,13216,388,high,Mumbai,2020-11-19 22:39:56.898810
U79,21,salaried,71007,518,high,Pune,2021-07-28 22:39:56.898810
U80,41,salaried,100586,589,high,Pune,2025-05-26 22:39:56.898810
U81,65,student,17874,366,high,Mumbai,2021-01-07 22:39:56.898810
U82,40,salaried,45068,463,high,Delhi,2020-10-28 22:39:56.898810
U83,49,self-employed,22397,406,high,Mumbai,2021-04-12 22:39:56.898810
U84,24,self-employed,109414,635,medium,Hyderabad,2021-10-06 22:39:56.898810
U85,45,salaried,109871,663,medium,Kanpur,2023-06-18 22:39:56.898810
U86,39,student,11683,327,high,Bangalore,2024-12-16 22:39:56.898810
U87,23,self-employed,86162,583,high,Hyderabad,2020-11-10 22:39:56.898810
U88,65,student,8811,339,high,Delhi,2022-04-11 22:39:56.898810
U89,36,self-employed,122814,706,medium,Hyderabad,2022-07-28 22:39:56.898810
U90,24,student,18476,382,high,Pune,2022-01-01 22:39:56.898810
U91,57,student,19624,334,high,Hyderabad,2021-08-23 22:39:56.898810
U92,45,self-employed,137104,714,medium,Mumbai,2023-11-10 22:39:56.898810
U93,51,salaried,115141,629,medium,Pune,2020-10-16 22:39:56.898810
U94,62,self-employed,170729,795,low,Mumbai,2025-04-17 22:39:56.898810
U95,27,student,8450,300,high,Delhi,2024-05-11 22:39:56.898810
U96,49,student,19067,379,high,Pune,2022-08-25 22:39:56.898810
U97,41,self-employed,103359,588,high,Mumbai,2024-04-07 22:39:56.898810
U98,32,salaried,25948,388,high,Pune,2021-06-19 22:39:56.898810
U99,19,student,6899,363,high,Pune,2020-12-29 22:39:56.898810
U100,32,salaried,52851,506,high,Pune,2022-08-23 22:39:56.898810
U101,49,self-employed,45473,462,high,Kanpur,2022-11-19 22:39:56.898810
U102,41,salaried,99941,634,medium,Delhi,2025-09-19 22:39:56.898810
U103,51,self-employed,181240,838,low,Pune,2024-07-23 22:39:56.898810
U104,50,student,9230,300,high,Pune,2023-06-06 22:39:56.898810
U105,24,self-employed,167554,850,low,Hyderabad,2021-08-08 22:39:56.898810
U106,24,salaried,99943,641,medium,Kanpur,2022-01-04 22:39:56.898810
U107,61,self-employed,157803,760,low,Bangalore,2025-08-20 22:39:56.898810
U108,32,self-employed,55919,513,high,Hyderabad,2022-03-30 22:39:56.898810
U109,26,student,7091,300,high,Delhi,2022-10-03 22:39:56.898810
U110,55,salaried,84658,507,high,Mumbai,2025-09-08 22:39:56.898810
U111,25,self-employed,162353,779,low,Kanpur,2023-02-11 22:39:56.898810
U112,33,student,18110,346,high,Bangalore,2022-10-14 22:39:56.898810
U113,18,self-employed,106224,577,high,Delhi,2021-02-04 22:39:56.898810
U114,23,self-employed,98950,581,high,Kanpur,2024-07-27 22:39:56.898810
U115,28,self-employed,136456,691,medium,Hyderabad,2023-06-08 22:39:56.898810
U116,61,self-employed,193504,900,low,Hyderabad,2024-04-15 22:39:56.898810
U117,37,self-employed,116922,695,medium,Mumbai,2024-10-04 22:39:56.898810
U118,53,student,7448,300,high,Kanpur,2021-01-08 22:39:56.898810
U119,39,salaried,35165,422,high,Hyderabad,2023-08-28 22:39:56.898810
U120,41,self-employed,161201,810,low,Kanpur,2023-10-11 22:39:56.898810
U121,20,student,19306,373,high,Mumbai,2025-12-03 22:39:56.898810
U122,64,student,14724,350,high,Kanpur,2020-10-18 22:39:56.898810
U123,37,salaried,49725,407,high,Kanpur,2023-10-17 22:39:56.898810
U124,63,student,14024,331,high,Pune,2024-08-13 22:39:56.898810
U125,44,salaried,74992,517,high,Mumbai,2022-04-27 22:39:56.899808
U126,64,self-employed,74138,548,high,Kanpur,2020-11-19 22:39:56.899808
U127,21,self-employed,49265,418,high,Bangalore,2021-10-07 22:39:56.899808
U128,40,salaried,111594,627,medium,Mumbai,2022-05-08 22:39:56.899808
U129,24,salaried,62903,465,high,Hyderabad,2023-12-09 22:39:56.899808
U130,24,student,15557,325,high,Delhi,2022-06-13 22:39:56.899808
U131,29,student,17305,314,high,Bangalore,2024-12-07 22:39:56.899808
U132,25,self-employed,43572,395,high,Mumbai,2021-02-19 22:39:56.899808
U133,44,self-employed,141208,722,medium,Mumbai,2024-02-22 22:39:56.899808
U134,33,salaried,111427,654,medium,Delhi,2021-04-10 22:39:56.899808
U135,50,self-employed,197253,900,low,Kanpur,2023-06-29 22:39:56.899808
U136,33,student,8216,341,high,Hyderabad,2024-01-03 22:39:56.899808
U137,45,self-employed,107195,618,medium,Delhi,2021-04-17 22:39:56.899808
U138,55,student,7759,338,high,Pune,2023-11-06 22:39:56.899808
U139,63,self-employed,70940,489,high,Bangalore,2020-08-30 22:39:56.899808
U140,31,self-employed,75062,480,high,Kanpur,2021-03-31 22:39:56.899808
U141,52,student,9600,300,high,Hyderabad,2022-10-06 22:39:56.899808
U142,62,self-employed,39701,380,high,Bangalore,2023-11-17 22:39:56.899808
U143,48,salaried,38778,453,high,Delhi,2024-10-31 22:39:56.899808
U144,25,self-employed,155459,803,low,Hyderabad,2021-06-11 22:39:56.899808
U145,22,salaried,44602,446,high,Mumbai,2022-07-07 22:39:56.899808
U146,65,student,7167,300,high,Delhi,2020-10-07 22:39:56.899808
U147,48,salaried,37766,461,high,Hyderabad,2024-03-25 22:39:56.899808
U148,54,self-employed,137024,690,medium,Kanpur,2023-06-26 22:39:56.899808
U149,51,salaried,110656,631,medium,Bangalore,2022-10-17 22:39:56.899808
U150,27,salaried,82758,530,high,Hyderabad,2025-11-24 22:39:56.899808
U151,55,student,13368,300,high,Bangalore,2024-08-08 22:39:56.899808
U152,25,student,14533,300,high,Delhi,2021-09-12 22:39:56.899808
U153,34,salaried,115175,628,medium,Mumbai,2021-06-25 22:39:56.899808
U154,49,salaried,32492,442,high,Kanpur,2021-11-20 22:39:56.899808
U155,62,self-employed,47882,457,high,Delhi,2022-07-06 22:39:56.899808
U156,28,student,15322,389,high,Hyderabad,2020-09-21 22:39:56.899808
U157,42,student,12385,300,high,Hyderabad,2022-10-15 22:39:56.899808
U158,59,salaried,111989,600,medium,Kanpur,2024-01-31 22:39:56.899808
U159,21,self-employed,170048,824,low,Kanpur,2025-12-02 22:39:56.899808
U160,35,student,6819,324,high,Pune,2024-03-22 22:39:56.899808
U161,21,student,17149,401,high,Bangalore,2020-08-31 22:39:56.899808
U162,48,salaried,27279,373,high,Delhi,2023-11-09 22:39:56.899808
U163,49,student,6346,369,high,Mumbai,2025-09-24 22:39:56.899808
U164,50,salaried,117696,697,medium,Kanpur,2022-03-11 22:39:56.899808
U165,63,student,9565,328,high,Hyderabad,2022-01-04 22:39:56.899808
U166,28,student,17663,379,high,Bangalore,2021-04-09 22:39:56.899808
U167,26,salaried,111800,661,medium,Delhi,2022-11-11 22:39:56.899808
U168,24,self-employed,84397,509,high,Kanpur,2023-02-05 22:39:56.900813
U169,31,salaried,54004,430,high,Hyderabad,2023-07-03 22:39:56.900813
U170,62,self-employed,169115,821,low,Mumbai,2023-10-17 22:39:56.900813
U171,56,self-employed,92487,621,medium,Delhi,2024-04-12 22:39:56.900813
U172,55,salaried,115079,693,medium,Hyderabad,2025-11-18 22:39:56.900813
U173,53,student,7839,300,high,Delhi,2022-04-21 22:39:56.900813
U174,19,salaried,99925,588,high,Bangalore,2025-02-21 22:39:56.900813
U175,48,student,18131,324,high,Hyderabad,2024-10-25 22:39:56.900813
U176,19,salaried,116563,676,medium,Mumbai,2025-11-26 22:39:56.900813
U177,18,self-employed,34486,365,high,Mumbai,2022-07-08 22:39:56.900813
U178,32,salaried,26216,331,high,Delhi,2024-08-18 22:39:56.900813
U179,62,student,14190,334,high,Delhi,2024-02-08 22:39:56.900813
U180,19,student,19474,337,high,Mumbai,2025-06-03 22:39:56.900813
U181,38,student,9613,326,high,Kanpur,2023-01-17 22:39:56.900813
U182,28,student,7599,344,high,Hyderabad,2023-12-18 22:39:56.900813
U183,19,student,17599,378,high,Mumbai,2024-08-17 22:39:56.900813
U184,52,student,6082,315,high,Mumbai,2023-09-13 22:39:56.900813
U185,20,student,5400,300,high,Mumbai,2023-03-06 22:39:56.900813
U186,27,student,12195,300,high,Bangalore,2024-06-15 22:39:56.900813
U187,32,student,7904,320,high,Bangalore,2020-10-14 22:39:56.900813
U188,28,student,17495,393,high,Pune,2024-12-04 22:39:56.900813
U189,65,salaried,46308,458,high,Mumbai,2023-01-13 22:39:56.900813
U190,43,student,13514,337,high,Pune,2021-03-13 22:39:56.900813
U191,54,salaried,50313,487,high,Delhi,2021-01-17 22:39:56.900813
U192,38,self-employed,145340,722,medium,Hyderabad,2023-12-20 22:39:56.900813
U193,20,self-employed,103635,655,medium,Delhi,2025-10-18 22:39:56.900813
U194,28,salaried,39527,419,high,Hyderabad,2022-07-21 22:39:56.900813
U195,51,salaried,111191,682,medium,Mumbai,2023-05-14 22:39:56.900813
U196,57,student,18965,330,high,Kanpur,2025-09-11 22:39:56.900813
U197,37,student,19958,376,high,Delhi,2022-12-06 22:39:56.900813
U198,24,self-employed,35254,393,high,Pune,2021-11-20 22:39:56.900813
U199,59,salaried,52806,442,high,Hyderabad,2022-11-18 22:39:56.900813
U200,35,self-employed,77401,507,high,Mumbai,2025-12-21 22:39:56.900813
U201,38,student,5900,300,high,Hyderabad,2021-07-01 22:39:56.900813
U202,33,student,12102,351,high,Bangalore,2024-05-13 22:39:56.900813
U203,59,self-employed,62309,518,high,Delhi,2022-03-16 22:39:56.900813
U204,62,student,15568,318,high,Bangalore,2025-01-24 22:39:56.900813
U205,53,self-employed,140208,678,medium,Kanpur,2025-11-29 22:39:56.900813
U206,32,salaried,37101,412,high,Kanpur,2024-07-13 22:39:56.900813
U207,26,student,19537,348,high,Mumbai,2022-04-16 22:39:56.900813
U208,58,self-employed,194339,878,low,Hyderabad,2025-02-16 22:39:56.900813
U209,45,student,16837,400,high,Hyderabad,2020-09-09 22:39:56.900813
U210,23,student,6369,300,high,Hyderabad,2021-10-04 22:39:56.900813
U211,45,self-employed,156266,804,low,Kanpur,2024-07-19 22:39:56.900813
U212,60,salaried,61134,456,high,Pune,2024-05-19 22:39:56.900813
U213,57,student,15678,353,high,Hyderabad,2025-11-25 22:39:56.900813
U214,61,student,13889,330,high,Delhi,2024-10-25 22:39:56.900813
U215,20,salaried,62275,452,high,Bangalore,2021-12-01 22:39:56.900813
U216,43,salaried,37086,409,high,Kanpur,2024-05-09 22:39:56.900813
U217,32,student,10712,310,high,Delhi,2025-11-01 22:39:56.900813
U218,57,student,17734,327,high,Kanpur,2022-02-03 22:39:56.900813
U219,26,salaried,108552,584,high,Delhi,2022-05-13 22:39:56.900813
U220,25,student,7944,324,high,Kanpur,2024-05-31 22:39:56.900813
U221,30,student,5307,300,high,Bangalore,2025-09-06 22:39:56.900813
U222,55,salaried,66681,497,high,Mumbai,2022-11-04 22:39:56.901806
U223,20,self-employed,96351,631,medium,Pune,2022-11-13 22:39:56.901806
U224,44,self-employed,61832,461,high,Mumbai,2021-05-26 22:39:56.901806
U225,49,student,13207,347,high,Kanpur,2024-03-21 22:39:56.901806
U226,28,student,18756,344,high,Bangalore,2020-09-09 22:39:56.901806
U227,56,self-employed,32169,421,high,Kanpur,2023-05-02 22:39:56.901806
U228,27,self-employed,92209,577,high,Hyderabad,2024-10-01 22:39:56.901806
U229,30,salaried,81387,529,high,Hyderabad,2025-06-08 22:39:56.901806
U230,64,salaried,81413,520,high,Delhi,2023-09-26 22:39:56.901806
U231,42,salaried,96524,551,high,Kanpur,2025-11-07 22:39:56.901806
U232,38,salaried,74662,496,high,Bangalore,2024-08-19 22:39:56.901806
U233,51,salaried,59695,429,high,Hyderabad,2023-02-15 22:39:56.901806
U234,23,student,11691,373,high,Kanpur,2023-04-09 22:39:56.901806
U235,19,salaried,43738,456,high,Mumbai,2023-07-15 22:39:56.901806
U236,45,salaried,105917,567,high,Mumbai,2025-08-05 22:39:56.901806
U237,42,self-employed,155341,724,medium,Delhi,2025-04-23 22:39:56.901806
U238,44,student,18911,315,high,Kanpur,2023-05-02 22:39:56.901806
U239,36,salaried,80624,521,high,Delhi,2021-10-15 22:39:56.901806
U240,31,salaried,47889,409,high,Hyderabad,2024-01-27 22:39:56.901806
U241,44,self-employed,32788,359,high,Kanpur,2025-08-11 22:39:56.901806
U242,26,self-employed,91331,526,high,Pune,2024-07-11 22:39:56.901806
U243,53,student,9672,349,high,Hyderabad,2023-01-24 22:39:56.901806
U244,23,salaried,61576,532,high,Bangalore,2025-01-19 22:39:56.901806
U245,62,salaried,102939,609,medium,Hyderabad,2022-05-15 22:39:56.901806
U246,45,salaried,109683,667,medium,Delhi,2020-10-21 22:39:56.901806
U247,62,salaried,97570,546,high,Hyderabad,2022-03-11 22:39:56.901806
U248,39,self-employed,191856,854,low,Kanpur,2022-12-11 22:39:56.901806
U249,53,self-employed,130287,640,medium,Kanpur,2021-01-31 22:39:56.901806
U250,49,self-employed,118258,667,medium,Pune,2023-08-09 22:39:56.901806
U251,40,self-employed,159009,816,low,Delhi,2021-02-28 22:39:56.901806
U252,61,salaried,56461,464,high,Bangalore,2025-12-12 22:39:56.901806
U253,54,salaried,76247,544,high,Hyderabad,2021-08-05 22:39:56.901806
U254,31,salaried,90279,528,high,Bangalore,2025-11-14 22:39:56.901806
U255,60,self-employed,143951,758,low,Kanpur,2024-09-27 22:39:56.901806
U256,47,salaried,66980,506,high,Kanpur,2024-12-19 22:39:56.901806
U257,58,student,7693,325,high,Hyderabad,2025-01-06 22:39:56.901806
U258,19,student,10821,315,high,Mumbai,2023-04-11 22:39:56.901806
U259,48,student,11653,345,high,Pune,2020-10-17 22:39:56.901806
U260,35,salaried,52834,467,high,Pune,2022-06-01 22:39:56.901806
U261,49,self-employed,122173,641,medium,Kanpur,2024-01-01 22:39:56.901806
U262,34,self-employed,159123,797,low,Mumbai,2021-11-25 22:39:56.901806
U263,42,salaried,90583,523,high,Kanpur,2024-04-16 22:39:56.901806
U264,23,salaried,74447,528,high,Delhi,2022-04-20 22:39:56.901806
U265,41,salaried,70452,547,high,Delhi,2022-04-12 22:39:56.901806
U266,59,student,6359,339,high,Pune,2024-12-13 22:39:56.901806
U267,40,student,11464,342,high,Hyderabad,2022-09-02 22:39:56.901806
U268,29,self-employed,165183,842,low,Pune,2025-02-25 22:39:56.901806
U269,22,salaried,67451,484,high,Pune,2024-07-05 22:39:56.901806
U270,21,student,15023,336,high,Bangalore,2021-02-17 22:39:56.901806
U271,40,student,12752,334,high,Delhi,2025-02-28 22:39:56.901806
U272,57,student,11012,369,high,Bangalore,2024-03-16 22:39:56.901806
U273,34,salaried,87443,568,high,Hyderabad,2023-09-21 22:39:56.901806
U274,28,student,15675,345,high,Kanpur,2022-11-18 22:39:56.901806
U275,20,student,8998,305,high,Hyderabad,2025-07-31 22:39:56.901806
U276,37,salaried,44638,436,high,Bangalore,2021-06-09 22:39:56.901806
U277,62,student,12130,348,high,Hyderabad,2023-12-21 22:39:56.901806
U278,47,salaried,58917,426,high,Hyderabad,2021-05-06 22:39:56.901806
U279,54,salaried,67690,528,high,Mumbai,2021-07-07 22:39:56.901806
U280,39,student,6515,311,high,Bangalore,2024-08-21 22:39:56.901806
U281,37,student,7395,300,high,Mumbai,2021-03-25 22:39:56.901806
U282,38,self-employed,153655,779,low,Kanpur,2021-09-15 22:39:56.902803
U283,41,student,14553,300,high,Bangalore,2021-07-16 22:39:56.902803
U284,24,self-employed,104831,626,medium,Mumbai,2021-05-11 22:39:56.902803
U285,57,salaried,74897,558,high,Delhi,2025-03-29 22:39:56.902803
U286,27,student,5822,355,high,Delhi,2022-02-21 22:39:56.902803
U287,64,self-employed,104594,632,medium,Bangalore,2021-01-27 22:39:56.902803
U288,24,student,18814,326,high,Delhi,2021-10-27 22:39:56.902803
U289,38,self-employed,25752,334,high,Hyderabad,2024-07-16 22:39:56.902803
U290,20,student,14725,314,high,Pune,2023-08-29 22:39:56.902803
U291,54,self-employed,53505,457,high,Pune,2023-08-14 22:39:56.902803
U292,22,salaried,74026,537,high,Delhi,2022-07-25 22:39:56.902803
U293,65,salaried,45040,473,high,Delhi,2023-04-20 22:39:56.902803
U294,56,self-employed,21592,320,high,Pune,2020-09-24 22:39:56.902803
U295,24,salaried,43926,481,high,Delhi,2025-02-12 22:39:56.902803
U296,37,student,16457,354,high,Pune,2025-09-03 22:39:56.902803
U297,19,self-employed,145319,755,low,Hyderabad,2020-09-07 22:39:56.902803
U298,54,salaried,113287,635,medium,Mumbai,2020-09-18 22:39:56.902803
U299,40,self-employed,120028,632,medium,Hyderabad,2023-05-17 22:39:56.902803
U300,62,student,18199,367,high,Pune,2023-03-01 22:39:56.902803
U301,64,salaried,75586,551,high,Mumbai,2024-10-18 22:39:56.902803
U302,61,self-employed,67428,490,high,Hyderabad,2025-08-12 22:39:56.902803
U303,44,student,17817,353,high,Pune,2025-11-03 22:39:56.902803
U304,29,salaried,78576,571,high,Kanpur,2022-07-23 22:39:56.902803
U305,44,self-employed,175978,821,low,Kanpur,2024-06-26 22:39:56.902803
U306,18,self-employed,174735,774,low,Hyderabad,2022-11-19 22:39:56.902803
U307,50,student,12306,300,high,Delhi,2023-08-12 22:39:56.902803
U308,25,student,12794,308,high,Bangalore,2022-03-21 22:39:56.902803
U309,21,self-employed,173463,848,low,Bangalore,2021-11-16 22:39:56.902803
U310,50,self-employed,41161,378,high,Pune,2024-02-23 22:39:56.902803
U311,46,student,12421,341,high,Mumbai,2023-02-28 22:39:56.902803
U312,54,student,13780,356,high,Mumbai,2021-09-14 22:39:56.902803
U313,25,student,10675,313,high,Pune,2024-12-24 22:39:56.902803
U314,65,student,9767,300,high,Bangalore,2023-04-21 22:39:56.902803
U315,50,student,16735,385,high,Mumbai,2026-01-07 22:39:56.902803
U316,25,self-employed,25075,347,high,Kanpur,2023-12-01 22:39:56.902803
U317,24,student,18511,397,high,Delhi,2021-11-26 22:39:56.902803
U318,44,self-employed,166667,827,low,Hyderabad,2025-06-21 22:39:56.902803
U319,52,self-employed,147058,753,low,Mumbai,2024-05-26 22:39:56.902803
U320,61,self-employed,112189,656,medium,Kanpur,2021-08-06 22:39:56.902803
U321,55,salaried,52988,497,high,Bangalore,2024-06-26 22:39:56.902803
U322,46,student,15013,311,high,Kanpur,2023-10-04 22:39:56.902803
U323,35,salaried,104368,617,medium,Bangalore,2020-11-26 22:39:56.902803
U324,37,salaried,33962,372,high,Hyderabad,2025-11-03 22:39:56.902803
U325,38,self-employed,102617,645,medium,Mumbai,2021-12-08 22:39:56.902803
U326,40,student,10139,300,high,Kanpur,2021-01-27 22:39:56.902803
U327,57,salaried,112011,661,medium,Mumbai,2023-07-26 22:39:56.902803
U328,52,salaried,42294,422,high,Pune,2021-11-06 22:39:56.902803
U329,59,salaried,87117,593,high,Delhi,2021-08-01 22:39:56.902803
U330,38,self-employed,115913,601,medium,Pune,2022-01-19 22:39:56.902803
U331,56,salaried,77573,526,high,Hyderabad,2024-12-28 22:39:56.902803
U332,54,self-employed,106399,635,medium,Pune,2021-08-16 22:39:56.902803
U333,43,salaried,111673,639,medium,Kanpur,2021-08-26 22:39:56.902803
U334,64,self-employed,108924,657,medium,Pune,2024-06-12 22:39:56.902803
U335,52,salaried,95854,542,high,Kanpur,2022-11-02 22:39:56.903803
U336,43,student,5579,307,high,Delhi,2020-11-15 22:39:56.903803
U337,20,salaried,86365,565,high,Bangalore,2022-08-07 22:39:56.903803
U338,36,salaried,109204,612,medium,Bangalore,2024-02-04 22:39:56.903803
U339,37,salaried,114885,594,high,Kanpur,2023-08-22 22:39:56.903803
U340,52,self-employed,70409,501,high,Mumbai,2024-08-06 22:39:56.903803
U341,58,self-employed,142630,769,low,Hyderabad,2024-07-23 22:39:56.903803
U342,45,student,18488,364,high,Mumbai,2025-03-28 22:39:56.903803
U343,64,student,10087,316,high,Delhi,2020-12-09 22:39:56.903803
U344,32,salaried,55092,470,high,Kanpur,2024-06-24 22:39:56.903803
U345,35,self-employed,132131,726,medium,Hyderabad,2025-04-22 22:39:56.903803
U346,49,self-employed,53601,479,high,Bangalore,2022-04-29 22:39:56.903803
U347,20,student,9364,364,high,Bangalore,2024-11-05 22:39:56.903803
U348,34,salaried,46064,470,high,Hyderabad,2025-11-23 22:39:56.903803
U349,58,salaried,31948,355,high,Bangalore,2023-09-16 22:39:56.903803
U350,60,self-employed,199196,900,low,Pune,2023-01-20 22:39:56.903803
U351,44,student,5157,324,high,Mumbai,2024-02-26 22:39:56.903803
U352,18,self-employed,161457,758,low,Pune,2021-02-23 22:39:56.903803
U353,51,self-employed,54219,479,high,Mumbai,2025-07-05 22:39:56.903803
U354,27,self-employed,66388,461,high,Pune,2025-05-27 22:39:56.903803
U355,21,self-employed,176654,854,low,Pune,2023-07-29 22:39:56.903803
U356,28,salaried,80485,567,high,Bangalore,2022-03-14 22:39:56.903803
U357,60,self-employed,49322,399,high,Kanpur,2025-05-27 22:39:56.903803
U358,43,salaried,58949,489,high,Bangalore,2023-10-06 22:39:56.903803
U359,56,salaried,50950,459,high,Bangalore,2020-12-09 22:39:56.903803
U360,55,student,7050,338,high,Bangalore,2024-12-02 22:39:56.903803
U361,53,self-employed,24460,375,high,Bangalore,2021-11-14 22:39:56.903803
U362,27,self-employed,182847,877,low,Kanpur,2023-10-14 22:39:56.903803
U363,55,student,16255,300,high,Hyderabad,2022-08-08 22:39:56.903803
U364,59,student,17826,353,high,Delhi,2022-08-27 22:39:56.903803
U365,46,student,11132,310,high,Delhi,2026-01-10 22:39:56.903803
U366,26,self-employed,42683,394,high,Mumbai,2023-07-27 22:39:56.903803
U367,63,salaried,56591,460,high,Hyderabad,2025-01-27 22:39:56.903803
U368,46,salaried,86249,535,high,Mumbai,2024-08-25 22:39:56.903803
U369,35,self-employed,32553,411,high,Mumbai,2025-03-27 22:39:56.903803
U370,60,student,16321,368,high,Delhi,2021-08-28 22:39:56.903803
U371,36,salaried,39457,435,high,Pune,2020-11-14 22:39:56.903803
